Playlist Title,Playlist Url,Video Title,Video Url,Video Views,Video Likes
CHINA 2015,https://www.youtube.com/watch?v=B45z__OuOE8&list=PLcWg1WeHg9uglIFqHyqBjZBVb2Jdz29io,Volví a China! Beijing #1,https://www.youtube.com/watch?v=B45z__OuOE8&list=PLcWg1WeHg9uglIFqHyqBjZBVb2Jdz29io&index=1,396.357,5999
IRLANDA,https://www.youtube.com/watch?v=wa_OQY3_bJ4&list=PLcWg1WeHg9uifCDBpAXz0OYwmhEadv3as,Mi próximo destino es...,https://www.youtube.com/watch?v=wa_OQY3_bJ4&list=PLcWg1WeHg9uifCDBpAXz0OYwmhEadv3as&index=1,266.343,5716
GUANAJUATO,https://www.youtube.com/watch?v=MpG8fxfZf08&list=PLcWg1WeHg9ujHACDESZRdZg1RJLMRzzhL,Y acabé lleno de lodo! San Miguel de Allende #2,https://www.youtube.com/watch?v=MpG8fxfZf08&list=PLcWg1WeHg9ujHACDESZRdZg1RJLMRzzhL&index=1,266.783,5594
Alan x el mundo - ISLANDIA,https://www.youtube.com/watch?v=_eJLodn23co&list=PLCE810778B48B64A7,Alan X Islandia - Reikiavik #1,https://www.youtube.com/watch?v=_eJLodn23co&list=PLCE810778B48B64A7&index=1,479.265,5350
Alan x el Mundo - REPUBLICA CHECA,https://www.youtube.com/watch?v=UyLe70synxw&list=PL406E61C8E8A41C15,PRAGA 1 - República checa 1 - AXM,https://www.youtube.com/watch?v=UyLe70synxw&list=PL406E61C8E8A41C15&index=1,897.660,5305
Las Vegas - Alan x el mundo,https://www.youtube.com/watch?v=K4uR4sldd3s&list=PLcWg1WeHg9uj-DSr6FJcnAHK3zFxgHERl,LAS VEGAS - Alan x el mundo,https://www.youtube.com/watch?v=K4uR4sldd3s&list=PLcWg1WeHg9uj-DSr6FJcnAHK3zFxgHERl&index=1,820.408,5264
POLINESIA FRANCESA,https://www.youtube.com/watch?v=-mbD_0WBaEM&list=PLcWg1WeHg9uhPb7C9eVjlyAOTZhoCXHzW,Me voy a la Polinesia Francesa!,https://www.youtube.com/watch?v=-mbD_0WBaEM&list=PLcWg1WeHg9uhPb7C9eVjlyAOTZhoCXHzW&index=1,198.456,5255
Guatemala,https://www.youtube.com/watch?v=-jjdDxtHhNo&list=PLcWg1WeHg9ujWbFmLUqe7Yww40zwta7Ct,Me voy a Guatemala!,https://www.youtube.com/watch?v=-jjdDxtHhNo&list=PLcWg1WeHg9ujWbFmLUqe7Yww40zwta7Ct&index=1,195.876,5112
TEXAS - AXM,https://www.youtube.com/watch?v=OugLVbZILQM&list=PLcWg1WeHg9ugtB9kWLFCt94OGnKrNAJGn,"24hrs en San Antonio, Texas",https://www.youtube.com/watch?v=OugLVbZILQM&list=PLcWg1WeHg9ugtB9kWLFCt94OGnKrNAJGn&index=1,303.821,5044
BUTAN,https://www.youtube.com/watch?v=KvJ0KTR2MaM&list=PLcWg1WeHg9ug5E2sNA2yfP4z1Ao3q4s-a,El país donde pintan enormes penes en las casas - Bután #1,https://www.youtube.com/watch?v=KvJ0KTR2MaM&list=PLcWg1WeHg9ug5E2sNA2yfP4z1Ao3q4s-a&index=1,301.924,4903
